TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
84	43.301701	22.622110	0.100000	65536.000000	-65536.000000(--err)
84	43.301701	22.622110	0.100000	-223479889920.000000	223810224128.000000
85	90.828362	38.006817	0.100000	-50789468.000000	85290488.000000(--err)
85	90.828362	38.006817	0.100000	50773072.000000	-85299464.000000
86	53.896881	13.439677	0.100000	-91.328125	454.937500(--err)
86	53.896881	13.439677	0.100000	-81058.687500	436911.531250
87	45.097832	37.903381	0.100000	29.673828	-16.580078(--err)
87	45.097832	37.903381	0.100000	-22298.386719	25050.052734
88	29.527260	6.063243	0.100000	12.273438	284.429688(--err)
88	29.527260	6.063243	0.100000	-55766.226562	-89024.101562
89	17.347530	55.376976	0.100000	-10.889648	6.359375(--err)
89	17.347530	55.376976	0.100000	13077.229492	-44241.617188
90	2.946861	48.481003	0.100000	-60.207031	1140.166260(--err)
90	2.946861	48.481003	0.100000	11061.667969	3599.222412
91	62.882950	46.652100	0.100000	-26.437500	-62.750000(--err)
91	62.882950	46.652100	0.100000	-1031968.625000	-1997004.625000
92	78.616821	99.464127	0.100000	2338.914062	-1116.562500(--err)
92	78.616821	99.464127	0.100000	75853.898438	81669.281250
93	9.361708	17.400291	0.100000	83.464844	-173.577148(--err)
93	9.361708	17.400291	0.100000	-47662.519531	5670.431641
94	71.296234	26.980829	0.100000	27.061646	-30.592285(--err)
94	71.296234	26.980829	0.100000	1257.026855	3573.344482
95	29.478996	81.714859	0.100000	6.406387	24.213264(--err)
95	29.478996	81.714859	0.100000	-57.350262	61.273170
96	0.054647	47.438911	0.100000	89.982422	202.957031(--err)
96	0.054647	47.438911	0.100000	-12453.220703	24638.777344
97	53.212582	70.472084	0.100000	-2577.074219	763.523438(--err)
97	53.212582	70.472084	0.100000	-20243.884766	-38267.765625
98	66.814217	25.575716	0.100000	-15.509766	12.917969(--err)
98	66.814217	25.575716	0.100000	-16504.607422	29826.386719
99	76.408913	10.115915	0.100000	-163840.000000	-98304.000000(--err)
99	76.408913	10.115915	0.100000	-130193825792.000000	-317841670144.000000
100	48.197823	67.237274	0.100000	324.742188	1147.821167(--err)
100	48.197823	67.237274	0.100000	-14771.212891	115.434471
101	48.122734	2.094706	0.100000	-3.257812	4.235840(--err)
101	48.122734	2.094706	0.100000	-32897.140625	-4963.435547
102	80.676956	93.220558	0.100000	385.806152	663.632812(--err)
102	80.676956	93.220558	0.100000	-7462.039551	19487.482422
103	39.998089	10.204211	0.100000	-12.250977	4.706055(--err)
103	39.998089	10.204211	0.100000	-3724.122803	-7539.256836
104	99.283806	57.345615	0.100000	-0.475586	-0.234375(--err)
104	99.283806	57.345615	0.100000	11186.139648	20853.119141
105	65.581192	2.230668	0.100000	0.000000	0.000000(--err)
105	65.581192	2.230668	0.100000	-5372572160.000000	5493672448.000000
106	5.826619	28.464138	0.100000	-260.600586	174.826172(--err)
106	5.826619	28.464138	0.100000	-6585.081055	-27479.605469
107	48.882767	84.443443	0.100000	7966.500000	322.000000(--err)
107	48.882767	84.443443	0.100000	7126244.000000	2299436.000000
108	27.928267	58.244473	0.100000	-0.062500	4.000000(--err)
108	27.928267	58.244473	0.100000	-826639.812500	-2497301.500000
109	1.843732	99.224495	0.100000	-14908461770866688.000000	2040905913597952.000000(--err)
109	1.843732	99.224495	0.100000	14908461770866688.000000	-2040905913597952.000000
110	85.225304	31.322729	0.100000	-6776.105469	-25881.466797(--err)
110	85.225304	31.322729	0.100000	7008.855957	25978.755859
111	80.939362	85.279953	0.100000	111.963135	118.382812(--err)
111	80.939362	85.279953	0.100000	-1505.776611	3976.774902
112	78.761635	34.151943	0.100000	0.000000	0.000000(--err)
112	78.761635	34.151943	0.100000	903691894784.000000	-1697644806144.000000
113	55.752037	45.575851	0.100000	0.000000	0.000000(--err)
113	55.752037	45.575851	0.100000	74077814784.000000	5170728448.000000
114	59.727657	32.160950	0.100000	-5773809.500000	20391284.000000(--err)
114	59.727657	32.160950	0.100000	5778091.000000	-20387066.000000
